WARN  | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 02-07-2019 | 11:45:48 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 11:45:48 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 11:45:48 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 19:57:07 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 19:57:27 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 20:00:04 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 20:00:28 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 20:02:16 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 20:11:36 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 20:12:21 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 20:15:59 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 21:27:31 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 21:28:27 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 21:28:47 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 21:29:50 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 21:30:21 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:25:01 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 22:25:01 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:25:01 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
ERROR | 02-07-2019 | 22:26:47 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 22:26:47 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 22:26:47 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 22:26:47 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to update does not exist'  
